id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1049460375029593399,One bedroom hertiage,93287118,Mary,,Blacktown,-33.76765184315358,150.91458625646797,Entire home/apt,175,3,0,,,1,269,0,PID-STRA-61804
1049473256746285241,Kaya - Oceanfront Elegance by Beach Stays,24721535,Beach Stays,,Warringah,-33.733847298767984,151.30440147485677,Entire home/apt,1155,2,0,,,62,354,0,PID-STRA-61746
1049516074489213634,Your Holiday Escape Mansion in St. Ives with Pool,548462227,Jason,,Ku-Ring-Gai,-33.72546,151.1645,Entire home/apt,679,2,5,2024-07-30,0.59,2,89,5,PID-STRA-60784
1049594011978194968,Cute 1 bedroom Bondi apartment,57572050,Dave,,Waverley,-33.89199,151.26108,Entire home/apt,320,2,0,,,1,206,0,PID-STRA-61887
1049609915903416070,2 bedroom Maroubra Beach pad,130710874,Jane,,Randwick,-33.954708,151.2481784,Entire home/apt,229,1,4,2024-09-01,0.49,1,136,4,PID-STRA-61766
1049611704810444388,The Pittwater Penthouse,3046924,Contemporary Hotels,,Pittwater,-33.59594,151.32007,Entire home/apt,796,1,2,2024-03-06,0.29,65,324,2,PID-STRA-61758
1049625414897708048,Stunning one bed in the heart of Parramatta,108083073,Urban Stays,,Parramatta,-33.81929,151.00835,Entire home/apt,147,3,18,2024-08-18,4.82,57,362,18,PID-STRA-64339
1049625879912648933,Stunning studio in the heart of Parramatta,108083073,Urban Stays,,Parramatta,-33.818027446687566,151.01039325431407,Entire home/apt,133,3,8,2024-07-20,2.22,57,359,8,PID-STRA-66076
1049625966335014777,Stunning 2 bedroom in the heart of Parramatta,108083073,Urban Stays,,Parramatta,-33.81749,151.00882,Entire home/apt,181,3,4,2024-08-19,1.35,57,362,4,PID-STRA-66100
1049626327599412402,Stunning 3 bedroom in the heart of Parramatta,108083073,Urban Stays,,Parramatta,-33.81944236351268,151.0081362545662,Entire home/apt,279,3,0,,,57,342,0,PID-STRA-63142
1049628554930630303,Central Convenience Sub-Penthouse 2BR Luxe Retreat,35193562,Tracy,,Lane Cove,-33.823567854052186,151.1944167878178,Entire home/apt,370,28,3,2024-03-02,0.41,5,135,3,PID-STRA-61778
1049639034448816538,Coastal Haven near Bronte Beach,105271268,Michael,,Waverley,-33.904042970066016,151.26357490639143,Entire home/apt,750,4,0,,,1,251,0,PID-STRA-61779
